Trial,ObservationRatio,ExecutionOrder,MaskSeed,SpatterSeed,TensorInitializationSeed,ActualObservationRatio,HuberDelta,OLSTECWallTimeSeconds,RSIWallTimeSeconds,OLSTECCoreTimeSeconds,RSICoreTimeSeconds,OLSTECWallFPS,RSIWallFPS,OLSTECCoreFPS,RSICoreFPS,RSIToOLSTECWallTimeRatio,RSIToOLSTECCoreTimeRatio,RSIMeanPriorIRLSIterations,RSIMeanPosteriorIRLSIterations
36,0.1,RSI_OLSTEC_then_OLSTEC_80,10036,20036,30036,0.100078530153553,0.1,10.6684547,17.9983689,10.4042711,17.7194053,56.4280410732775,33.4474753431685,57.8608529337533,33.9740521652835,1.68706428495216,1.7030895417556,2.69933554817276,2.80897009966777
37,0.1,OLSTEC_80_then_RSI_OLSTEC,10037,20037,30037,0.100008546207763,0.1,10.6178379,17.7988525,10.3537306,17.5350201,56.6970418713964,33.8224051241506,58.1432937805046,34.3312979721078,1.67631608879619,1.69359439388929,2.65116279069767,2.81727574750831
38,0.1,RSI_OLSTEC_then_OLSTEC_80,10038,20038,30038,0.100036463819788,0.1,10.6935873,18.0098536,10.4318436,17.7315912,56.2954210884873,33.4261462291953,57.7079203909844,33.9507037586114,1.68417324278075,1.69975623484232,2.68770764119601,2.95182724252492
39,0.1,OLSTEC_80_then_RSI_OLSTEC,10039,20039,30039,0.0999077959140264,0.1,10.7704199,17.5157446,10.5105108,17.2473551,55.8938282434095,34.3690784347244,57.2759984224554,34.9039024540058,1.62628242562762,1.64096259717463,2.62126245847176,2.79401993355482
40,0.1,RSI_OLSTEC_then_OLSTEC_80,10040,20040,30040,0.0999706263673932,0.1,10.6275302,18.0126264,10.3503543,17.7563685,56.6453342094478,33.4210007264682,58.1622602039816,33.9033288253733,1.69490239604306,1.71553243351293,2.70431893687708,2.89036544850498
41,0.1,OLSTEC_80_then_RSI_OLSTEC,10041,20041,30041,0.100005855734949,0.1,10.7755507,17.9969511,10.5092532,17.7186775,55.8672142853915,33.4501103356335,57.2828524104834,33.97544765968,1.67016532157377,1.68600728927152,2.62956810631229,2.84717607973422
42,0.1,RSI_OLSTEC_then_OLSTEC_80,10042,20042,30042,0.0999642008852605,0.1,10.57292,17.4615439,10.2993368,17.1832374,56.9379130836136,34.4757601875055,58.4503654643083,35.0341432168073,1.65153466592011,1.66838290014945,2.54983388704319,2.64784053156146
43,0.1,OLSTEC_80_then_RSI_OLSTEC,10043,20043,30043,0.100008609513005,0.1,10.6292228,17.3496139,10.3556384,17.0816923,56.6363139927785,34.6981784995227,58.1325821496432,35.2424097933201,1.6322561137772,1.64950644665229,2.56644518272425,2.55980066445183
44,0.1,RSI_OLSTEC_then_OLSTEC_80,10044,20044,30044,0.0999951254963131,0.1,10.6696221,17.9848288,10.4127233,17.7160149,56.4218670874951,33.472656687174,57.813886209768,33.9805539450071,1.68561066469261,1.70138151082916,2.66112956810631,2.83720930232558
45,0.1,OLSTEC_80_then_RSI_OLSTEC,10045,20045,30045,0.100066059020744,0.1,10.7273527,17.5037197,10.4606501,17.2272245,56.1182257016682,34.3926896864099,57.5490045307987,34.9446888557121,1.6316905195072,1.6468598352219,2.53820598006645,2.65116279069767
46,0.1,RSI_OLSTEC_then_OLSTEC_80,10046,20046,30046,0.100054600771818,0.1,10.7045458,17.6011887,10.4470155,17.3235743,56.2377901171669,34.2022354433368,57.6241128387337,34.750334404142,1.64427235203198,1.65823189407539,2.57308970099668,2.80564784053156
47,0.1,OLSTEC_80_then_RSI_OLSTEC,10047,20047,30047,0.100026714812414,0.1,10.4170249,17.7314488,10.1548757,17.4562639,57.7900125783514,33.9509764142905,59.2818679208452,34.4861880783092,1.70216054681793,1.71900320749372,2.64285714285714,2.85049833887043
48,0.1,RSI_OLSTEC_then_OLSTEC_80,10048,20048,30048,0.099987560519812,0.1,10.6326531,17.8772695,10.373164,17.617317,56.618042020011,33.6740462518619,58.0343663707621,34.1709239834874,1.68135547467452,1.69835519808614,2.64451827242525,2.75249169435216
49,0.1,OLSTEC_80_then_RSI_OLSTEC,10049,20049,30049,0.0999589148974962,0.1,10.5001383,17.9750989,10.2331855,17.6870928,57.332578181375,33.4907753970689,58.8282114108065,34.0361192654567,1.71189163289402,1.72840537289195,2.64285714285714,2.7890365448505
50,0.1,RSI_OLSTEC_then_OLSTEC_80,10050,20050,30050,0.0999472034275991,0.1,10.58667,17.8088428,10.3251931,17.5537122,56.8639619445964,33.8034316300439,58.303994334014,34.2947402316417,1.68219494893106,1.70008560905268,2.69601328903654,2.79900332225914
