BaselineAlgorithm,ReferenceAlgorithm,ObservationRatio,Metric,TotalTrials,BaselineValidTrials,ReferenceValidTrials,ValidPairs,BaselineFailures,ReferenceFailures,MeanBaselineNRE,MeanReferenceNRE,MeanBaselineMinusReferenceNRE,MedianBaselineMinusReferenceNRE,BaselineMinusReferenceCILower,BaselineMinusReferenceCIUpper,ReferenceLowerNREFraction,CILevel,BootstrapResamples,BootstrapSeed,CIMethod
Grouse,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.999912614042695,0.0449205652048092,0.954992048837886,0.95499748464572,0.954968564401761,0.955015570543101,1,0.95,10000,20261804,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.128259254963802,0.0449205652048092,0.0833386897589931,0.0747900760611499,0.0780774079993411,0.0892153434322868,1,0.95,10000,20261805,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0730135046492017,0.0449205652048092,0.0280929394443926,0.0280549898323194,0.0279638345549786,0.0282314364574442,1,0.95,10000,20261806,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0641925697193384,0.0449205652048092,0.0192720045145292,0.0193006132794514,0.0191126275592009,0.0194263224774444,1,0.95,10000,20261807,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.058204844300666,0.0449205652048092,0.0132842790958568,0.0132390025169619,0.0132157066730331,0.0133522005243975,1,0.95,10000,20261808,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0674311417238513,0.0449205652048092,0.0225105765190422,0.0225271131122178,0.0223472471422123,0.0226626123746109,1,0.95,10000,20261809,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.180639613988905,0.0454030155767994,0.135236598412106,0.139532742685489,0.13216348807626,0.137827249633635,1,0.95,10000,20261810,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.136343654469415,0.0454030155767994,0.0909406388926154,0.0911186058081835,0.0906586827736238,0.0912177034005048,1,0.95,10000,20261811,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.112632892027445,0.0454030155767994,0.0672298764506456,0.0672608940574583,0.0671218757290795,0.0673422728974982,1,0.95,10000,20261812,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,1.00003091569621,0.0454030155767994,0.954627900119415,0.954640815131115,0.954606379060966,0.954648843282749,1,0.95,10000,20261813,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.155907601846672,0.0454030155767994,0.110504586269873,0.125956904308611,0.103625244050455,0.116626157932365,1,0.95,10000,20261814,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0833484993526808,0.0454030155767994,0.0379454837758815,0.0379859205032469,0.0377876421867417,0.0381054291134054,1,0.95,10000,20261815,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0726388079456869,0.0454030155767994,0.0272357923688876,0.0270627989510167,0.0270696960668097,0.0274125537892598,1,0.95,10000,20261816,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0615465725534444,0.0454030155767994,0.016143556976645,0.0159429624152116,0.0159682505791394,0.0163321719316243,1,0.95,10000,20261817,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0677120194007351,0.0454030155767994,0.0223090038239357,0.0222728494308972,0.0221330473730131,0.0224839737598397,1,0.95,10000,20261818,percentile_bootstrap_linear_quantile
CP_WOPT,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.174380588764938,0.04657289937697,0.127807689387968,0.137881619410136,0.123376155416045,0.131939753070518,1,0.95,10000,20261819,percentile_bootstrap_linear_quantile
Petrels,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.137540676388645,0.04657289937697,0.0909677770116753,0.0909631333042759,0.0907491851437749,0.0911839800757693,1,0.95,10000,20261820,percentile_bootstrap_linear_quantile
Grasta,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.129440661809567,0.04657289937697,0.0828677624325967,0.0827789825113996,0.0827090715606529,0.0830380727657562,1,0.95,10000,20261821,percentile_bootstrap_linear_quantile
Grouse,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,1.00030687144407,0.04657289937697,0.953733972067096,0.953746828328824,0.953709968062417,0.95375786470827,1,0.95,10000,20261822,percentile_bootstrap_linear_quantile
TeCPSGD,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.168631641490704,0.04657289937697,0.122058742113734,0.125006019948177,0.119087379759257,0.125001732634177,1,0.95,10000,20261823,percentile_bootstrap_linear_quantile
OLSTEC_70,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0995813972673162,0.04657289937697,0.0530084978903462,0.0530828808095348,0.0528026534206175,0.0532164953513065,1,0.95,10000,20261824,percentile_bootstrap_linear_quantile
OLSTEC_80,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0877959042404602,0.04657289937697,0.0412230048634903,0.0411845702306057,0.0410132689064645,0.0414309280477301,1,0.95,10000,20261825,percentile_bootstrap_linear_quantile
OLSTEC_90,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.0722002798702007,0.04657289937697,0.0256273804932307,0.025505113173237,0.0253562712851588,0.0259052281337768,1,0.95,10000,20261826,percentile_bootstrap_linear_quantile
OLSTEC_99,RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,50,50,50,50,0,0,0.068249648979804,0.04657289937697,0.021676749602834,0.0217278230790462,0.0214618936720473,0.0218830613803003,1,0.95,10000,20261827,percentile_bootstrap_linear_quantile
