Algorithm,ObservationRatio,Metric,Mean,StandardDeviation,CILower,CIUpper,ValidTrials,FailedTrials,PendingTrials,TotalTrials,CILevel,BootstrapResamples,BootstrapSeed,CIMethod
TeCPSGD,0.7,LateWindowMeanReferenceNRE,0.128259254963802,0.0203773381273276,0.123080249789767,0.1340645555433,50,0,0,50,0.95,10000,20260813,percentile_bootstrap_linear_quantile
OLSTEC_70,0.7,LateWindowMeanReferenceNRE,0.0730135046492017,0.00048698504126646,0.0728848498902553,0.0731514682194434,50,0,0,50,0.95,10000,20260814,percentile_bootstrap_linear_quantile
OLSTEC_80,0.7,LateWindowMeanReferenceNRE,0.0641925697193384,0.000563526991513532,0.0640365185816544,0.0643438726614381,50,0,0,50,0.95,10000,20260815,percentile_bootstrap_linear_quantile
OLSTEC_90,0.7,LateWindowMeanReferenceNRE,0.058204844300666,0.000245866176820394,0.0581380180951873,0.058272252024578,50,0,0,50,0.95,10000,20260816,percentile_bootstrap_linear_quantile
OLSTEC_99,0.7,LateWindowMeanReferenceNRE,0.0674311417238513,0.000568967533746328,0.0672762082589943,0.0675868074933022,50,0,0,50,0.95,10000,20260817,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.7,LateWindowMeanReferenceNRE,0.0449205652048092,5.26270472570258e-05,0.0449058499040196,0.0449350575564322,50,0,0,50,0.95,10000,20260818,percentile_bootstrap_linear_quantile
CP_WOPT,0.5,LateWindowMeanReferenceNRE,0.180639613988905,0.0104746375196334,0.177509102643244,0.183256036107856,50,0,0,50,0.95,10000,20260819,percentile_bootstrap_linear_quantile
Petrels,0.5,LateWindowMeanReferenceNRE,0.136343654469415,0.00101612409555651,0.136066205681678,0.136630041837309,50,0,0,50,0.95,10000,20260820,percentile_bootstrap_linear_quantile
Grasta,0.5,LateWindowMeanReferenceNRE,0.112632892027445,0.000400653121272163,0.112525557420927,0.112744118607336,50,0,0,50,0.95,10000,20260821,percentile_bootstrap_linear_quantile
Grouse,0.5,LateWindowMeanReferenceNRE,1.00003091569621,6.80188874407258e-05,1.0000121687717,1.00004858854202,50,0,0,50,0.95,10000,20260822,percentile_bootstrap_linear_quantile
TeCPSGD,0.5,LateWindowMeanReferenceNRE,0.155907601846672,0.0234500674320704,0.149031710731564,0.162027337658965,50,0,0,50,0.95,10000,20260823,percentile_bootstrap_linear_quantile
OLSTEC_70,0.5,LateWindowMeanReferenceNRE,0.0833484993526808,0.000570780194943424,0.0831925466535374,0.0835032648070773,50,0,0,50,0.95,10000,20260824,percentile_bootstrap_linear_quantile
OLSTEC_80,0.5,LateWindowMeanReferenceNRE,0.0726388079456869,0.000616788621938564,0.0724737570981749,0.0728093822734787,50,0,0,50,0.95,10000,20260825,percentile_bootstrap_linear_quantile
OLSTEC_90,0.5,LateWindowMeanReferenceNRE,0.0615465725534444,0.000662774168621091,0.0613660442055914,0.0617301506271237,50,0,0,50,0.95,10000,20260826,percentile_bootstrap_linear_quantile
OLSTEC_99,0.5,LateWindowMeanReferenceNRE,0.0677120194007351,0.000646311869896312,0.067532481530576,0.0678857893196918,50,0,0,50,0.95,10000,20260827,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.5,LateWindowMeanReferenceNRE,0.0454030155767994,4.51946767143313e-05,0.0453904483547096,0.0454156179855316,50,0,0,50,0.95,10000,20260828,percentile_bootstrap_linear_quantile
CP_WOPT,0.3,LateWindowMeanReferenceNRE,0.174380588764938,0.0155949542095378,0.16989873367072,0.178475371810982,50,0,0,50,0.95,10000,20260829,percentile_bootstrap_linear_quantile
Petrels,0.3,LateWindowMeanReferenceNRE,0.137540676388645,0.000804840551763236,0.137317316916445,0.137762566525372,50,0,0,50,0.95,10000,20260830,percentile_bootstrap_linear_quantile
Grasta,0.3,LateWindowMeanReferenceNRE,0.129440661809567,0.000590640673871189,0.12928445386103,0.129610043272099,50,0,0,50,0.95,10000,20260831,percentile_bootstrap_linear_quantile
Grouse,0.3,LateWindowMeanReferenceNRE,1.00030687144407,7.07965426538342e-05,1.00028650688223,1.00032525688657,50,0,0,50,0.95,10000,20260832,percentile_bootstrap_linear_quantile
TeCPSGD,0.3,LateWindowMeanReferenceNRE,0.168631641490704,0.0117725991654925,0.164714274175348,0.171575733343092,50,0,0,50,0.95,10000,20260833,percentile_bootstrap_linear_quantile
OLSTEC_70,0.3,LateWindowMeanReferenceNRE,0.0995813972673162,0.000750436768972113,0.0993816250284673,0.0997849439550694,50,0,0,50,0.95,10000,20260834,percentile_bootstrap_linear_quantile
OLSTEC_80,0.3,LateWindowMeanReferenceNRE,0.0877959042404602,0.000771136990312992,0.0875832808798206,0.0880051448233741,50,0,0,50,0.95,10000,20260835,percentile_bootstrap_linear_quantile
OLSTEC_90,0.3,LateWindowMeanReferenceNRE,0.0722002798702007,0.000994008534551399,0.0719302260631187,0.0724742632495172,50,0,0,50,0.95,10000,20260836,percentile_bootstrap_linear_quantile
OLSTEC_99,0.3,LateWindowMeanReferenceNRE,0.068249648979804,0.000753023606715183,0.0680445010524077,0.0684576839097562,50,0,0,50,0.95,10000,20260837,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.3,LateWindowMeanReferenceNRE,0.04657289937697,6.6579755354192e-05,0.0465546110741419,0.0465910143465645,50,0,0,50,0.95,10000,20260838,percentile_bootstrap_linear_quantile
CP_WOPT,0.1,LateWindowMeanReferenceNRE,0.185246656647974,0.00123802839688539,0.184852060018205,0.185536648335137,50,0,0,50,0.95,10000,20260839,percentile_bootstrap_linear_quantile
Petrels,0.1,LateWindowMeanReferenceNRE,0.132001392151491,0.000698969632412613,0.131801110226405,0.132187265294401,50,0,0,50,0.95,10000,20260840,percentile_bootstrap_linear_quantile
Grasta,0.1,LateWindowMeanReferenceNRE,0.177521126645216,0.00141495050198603,0.177141213345036,0.177912049071482,50,0,0,50,0.95,10000,20260841,percentile_bootstrap_linear_quantile
Grouse,0.1,LateWindowMeanReferenceNRE,1.00165234566662,0.000110666811390493,1.00162169948194,1.00168249816683,50,0,0,50,0.95,10000,20260842,percentile_bootstrap_linear_quantile
TeCPSGD,0.1,LateWindowMeanReferenceNRE,0.172901989133353,7.37578757414014e-05,0.17288195539387,0.172922616750445,50,0,0,50,0.95,10000,20260843,percentile_bootstrap_linear_quantile
OLSTEC_70,0.1,LateWindowMeanReferenceNRE,0.127770719746439,0.00141688943836288,0.12737192785422,0.128151813966962,50,0,0,50,0.95,10000,20260844,percentile_bootstrap_linear_quantile
OLSTEC_80,0.1,LateWindowMeanReferenceNRE,0.118769213273304,0.0013572972223118,0.118391297126023,0.119144870088251,50,0,0,50,0.95,10000,20260845,percentile_bootstrap_linear_quantile
OLSTEC_90,0.1,LateWindowMeanReferenceNRE,0.103725755275754,0.00165516743889351,0.103265744560701,0.10417375978672,50,0,0,50,0.95,10000,20260846,percentile_bootstrap_linear_quantile
OLSTEC_99,0.1,LateWindowMeanReferenceNRE,0.0781128407078018,0.00166406019003844,0.0776642116313193,0.0785765570286515,50,0,0,50,0.95,10000,20260847,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.1,LateWindowMeanReferenceNRE,0.0531498263023212,0.000274654637498218,0.0530786589404374,0.0532258053927096,50,0,0,50,0.95,10000,20260848,percentile_bootstrap_linear_quantile
